ID,nrpts,area,density,ecc,center_1,center_2
399,91,0.03282928,2771.916,0.2903126,36.14841,31.45333
401,161,0.03718323,4329.909,0.5466798,29.0268,19.01068
402,335,0.0968974,3457.265,0.7282813,27.34786,24.99589
403,299,0.07805368,3830.697,0.2617396,30.16134,21.13917
405,136,0.03253621,4179.958,0.6723239,29.35837,23.27572
408,92,0.04023151,2286.764,0.5036049,35.46992,23.15615
409,117,0.03949489,2962.409,0.6645949,38.06684,37.80132
410,52,0.02268848,2291.912,0.8940706,33.84324,26.40269
411,86,0.02591796,3318.163,0.6806425,33.51611,34.80336
413,214,0.08213596,2605.436,0.7141777,19.7138,20.13444
414,51,0.02219317,2298.004,0.8030549,21.04997,17.68689
415,149,0.04228009,3524.117,0.8945789,28.82701,22.84435
416,94,0.03232317,2908.131,0.4609172,24.41944,36.19977
417,79,0.03454789,2286.681,0.6779383,31.26966,21.42652
418,57,0.02841623,2005.896,0.7642812,31.84172,19.4817
419,93,0.03499874,2657.238,0.8470351,29.18881,39.93118
420,378,0.1255034,3011.872,0.7941091,23.31941,18.17933
421,78,0.02222542,3509.495,0.2755875,22.67345,21.99954
423,57,0.01980593,2877.927,0.7435503,20.80256,27.17762
424,54,0.0133404,4047.855,0.7075505,25.37473,34.73635
427,92,0.03124088,2944.86,0.7882488,24.61208,36.86396
428,161,0.06750375,2385.053,0.8761676,40.78501,22.81214
430,50,0.01876784,2664.132,0.84706,24.50865,41.70297
431,174,0.05481371,3174.389,0.8151819,17.10258,31.31421
433,93,0.03181956,2922.73,0.6678734,33.05103,32.09098
434,87,0.03563234,2441.602,0.579559,21.79832,16.59336
435,110,0.03860639,2849.27,0.8525234,18.75572,18.15243
437,92,0.02482229,3706.347,0.7177945,29.50208,28.22982
438,119,0.05219721,2279.815,0.6743582,24.61839,36.48014
441,169,0.03854984,4383.935,0.7121375,27.98674,22.32509
443,51,0.009972154,5114.241,0.6806304,19.17736,32.21022
445,86,0.02860585,3006.378,0.3174015,26.23878,42.28312
447,50,0.01831292,2730.312,0.5884857,17.04007,33.0582
448,93,0.03770595,2466.454,0.5409963,27.7784,34.70395
449,66,0.01880379,3509.931,0.6849561,28.83536,32.2958
450,102,0.0504153,2023.196,0.7564859,38.52443,34.99012
453,128,0.033352,3837.851,0.7286407,24.67422,26.74422
454,111,0.0266928,4158.424,0.6445317,18.0593,33.01308
458,87,0.01894232,4592.889,0.882258,26.78211,25.47499
459,89,0.03038609,2928.972,0.6239957,30.9116,31.57263
460,132,0.06301242,2094.825,0.7946683,19.00419,30.83692
462,166,0.06150727,2698.868,0.7449444,24.14798,22.9454
463,64,0.0168015,3809.184,0.7535611,29.48862,24.71065
464,81,0.01659521,4880.927,0.9014484,28.82571,26.32529
468,100,0.04310793,2319.759,0.7642701,27.14641,23.39998
